city,state_code,median_age,male_population,female_population,total_population,number_of_veterans,foreign_born,average_household_size
ELIZABETH,NJ,34.2,65896.0,63116.0,129012,1131.0,63413.0,3.18
SYRACUSE,NY,30.3,69462.0,74690.0,144152,5845.0,17733.0,2.39
REDDING,CA,38.8,42530.0,49049.0,91579,6926.0,5181.0,2.42
SCOTTSDALE,AZ,46.9,115712.0,121132.0,236844,16798.0,27207.0,2.17
GLENDALE,AZ,34.4,116795.0,123319.0,240114,13241.0,44133.0,2.89
FISHERS,IN,34.5,42161.0,43910.0,86071,2469.0,6138.0,2.8
WALDORF,MD,33.6,35640.0,39872.0,75512,6932.0,5954.0,2.69
LAS VEGAS,NV,37.5,310568.0,313201.0,623769,42397.0,127609.0,2.79
VICTORIA,TX,35.8,32290.0,35291.0,67581,5000.0,4480.0,2.7
ANCHORAGE,AK,32.2,152945.0,145750.0,298695,27492.0,33258.0,2.77
SAN DIEGO,CA,34.5,693826.0,701081.0,1394907,92489.0,373842.0,2.73
DAYTON,OH,32.8,66631.0,73966.0,140597,8465.0,7381.0,2.26
GLENDALE,CA,42.1,98181.0,102844.0,201025,4448.0,111510.0,2.69
AUBURN,WA,37.1,36837.0,39743.0,76580,5401.0,14842.0,2.73
PEORIA,AZ,36.9,80139.0,91103.0,171242,13019.0,14260.0,2.97
CHARLOTTE,NC,34.3,396646.0,430475.0,827121,36046.0,128897.0,2.52
GULFPORT,MS,35.1,33108.0,38764.0,71872,6646.0,3072.0,2.54
ABILENE,TX,31.3,65212.0,60664.0,125876,9367.0,8129.0,2.64
CENTREVILLE,VA,36.0,34749.0,37033.0,71782,3779.0,27797.0,2.97
PLEASANTON,CA,41.3,36662.0,42857.0,79519,2424.0,23208.0,2.87
WESTMINSTER,CA,42.9,45538.0,46573.0,92111,3435.0,42227.0,3.27
WATERBURY,CT,36.2,52235.0,56572.0,108807,3493.0,19967.0,2.71
DAVIE,FL,40.8,48754.0,52140.0,100894,4655.0,26532.0,2.72
HOUSTON,TX,32.6,1149686.0,1148942.0,2298628,71898.0,696210.0,2.66
CONCORD,CA,39.6,62310.0,66358.0,128668,6287.0,37428.0,2.72
EAGAN,MN,36.8,31587.0,34701.0,66288,2699.0,8642.0,2.49
DULUTH,MN,34.7,41271.0,44855.0,86126,5015.0,2258.0,2.25
CAROLINA,PR,42.0,64758.0,77308.0,142066,,,
ELLICOTT CITY,MD,42.4,34406.0,36526.0,70932,3856.0,17587.0,2.73
PORT SAINT LUCIE,FL,42.1,84069.0,95341.0,179410,12416.0,34003.0,2.91
GREELEY,CO,31.0,50792.0,50091.0,100883,4294.0,11480.0,2.75
AMES,IA,23.0,33814.0,31238.0,65052,2265.0,8606.0,2.16
WEST JORDAN,UT,30.8,57898.0,54044.0,111942,3577.0,11492.0,3.46
CHICO,CA,29.9,46168.0,44168.0,90336,4519.0,8425.0,2.5
CHINO HILLS,CA,41.9,39639.0,38674.0,78313,3358.0,24764.0,3.05
NEW BEDFORD,MA,38.6,43793.0,51166.0,94959,4185.0,19024.0,2.39
SAN BERNARDINO,CA,28.5,108671.0,107466.0,216137,7741.0,55135.0,3.55
LONGMONT,CO,36.8,43941.0,48280.0,92221,4925.0,10424.0,2.63
LINCOLN,NE,32.3,138544.0,138802.0,277346,14694.0,22958.0,2.4
PASCO,WA,28.6,35298.0,32799.0,68097,2052.0,16265.0,3.45
CINCINNATI,OH,32.7,143654.0,154883.0,298537,13699.0,16896.0,2.08
NEW BRAUNFELS,TX,37.0,33071.0,36852.0,69923,5204.0,5405.0,2.85
UNION CITY,NJ,35.4,35376.0,33773.0,69149,705.0,40553.0,2.85
FONTANA,CA,29.5,100644.0,106828.0,207472,4076.0,61448.0,4.15
MILWAUKEE,WI,31.6,286315.0,313839.0,600154,20615.0,58321.0,2.51
RACINE,WI,33.7,39314.0,38423.0,77737,4650.0,4403.0,2.56
SANTA MARIA,CA,30.1,53320.0,51762.0,105082,2876.0,39192.0,3.83
MARYSVILLE,WA,33.2,33436.0,33337.0,66773,5714.0,7721.0,2.79
INGLEWOOD,CA,34.9,52995.0,58661.0,111656,2703.0,34171.0,3.12
CEDAR RAPIDS,IA,36.2,63109.0,67296.0,130405,7823.0,5404.0,2.32
GERMAN,MD,34.9,41115.0,43007.0,84122,2443.0,27877.0,2.95
HIGHLANDS RANCH,CO,39.6,49186.0,53281.0,102467,4840.0,8827.0,2.72
TUSTIN,CA,33.4,39511.0,41052.0,80563,2434.0,25034.0,3.27
KENT,WA,33.4,61825.0,65137.0,126962,7985.0,38175.0,3.06
URBAN HONOLULU,HI,41.4,176807.0,175959.0,352766,23213.0,101312.0,2.69
RICHMOND,CA,35.3,52615.0,57100.0,109715,3611.0,42215.0,2.87
DELTONA,FL,39.9,44853.0,43621.0,88474,5664.0,7098.0,2.89
KISSIMMEE,FL,36.7,33283.0,35869.0,69152,2449.0,16879.0,3.01
SPRINGFIELD,MA,31.8,74744.0,79592.0,154336,5723.0,16226.0,2.81
SAN MATEO,CA,39.3,50966.0,52558.0,103524,2730.0,34957.0,2.64
FALL RIVER,MA,39.3,43314.0,45456.0,88770,4143.0,14775.0,2.21
CARMICHAEL,CA,41.0,29281.0,33934.0,63215,4225.0,7378.0,2.39
LAUDERHILL,FL,35.7,32813.0,38761.0,71574,1965.0,25471.0,3.02
WORCESTER,MA,34.9,90951.0,93855.0,184806,9408.0,36907.0,2.43
PROVIDENCE,RI,29.9,89090.0,90114.0,179204,4933.0,53532.0,2.72
FAYETTEVILLE,AR,27.1,41959.0,40873.0,82832,4744.0,6313.0,2.28
SANTA ROSA,CA,37.9,86840.0,88149.0,174989,9101.0,33015.0,2.7
UNION CITY,CA,38.5,38599.0,35911.0,74510,1440.0,32752.0,3.46
LAKELAND,FL,38.1,47840.0,56570.0,104410,7390.0,11592.0,2.56
BOULDER,CO,29.0,56342.0,51000.0,107342,4061.0,12993.0,2.24
RICHMOND,VA,33.6,104793.0,115496.0,220289,12538.0,15741.0,2.29
BAYONNE,NJ,39.7,32705.0,33598.0,66303,2225.0,21899.0,2.62
SANTA BARBARA,CA,37.8,45068.0,46784.0,91852,4518.0,19441.0,2.51
YUBA CITY,CA,34.5,33654.0,33290.0,66944,4706.0,18032.0,2.9
PALO ALTO,CA,40.2,31451.0,35397.0,66848,2025.0,23348.0,2.55
PUEBLO,CO,37.6,55635.0,53784.0,109419,7989.0,3578.0,2.44
THE VILLAGES,FL,70.5,,,72590,15231.0,4034.0,
FORT WAYNE,IN,34.7,124815.0,133329.0,258144,13539.0,19146.0,2.45
SANTA ANA,CA,30.8,167503.0,167920.0,335423,4735.0,152999.0,4.58
BISMARCK,ND,38.0,34675.0,35565.0,70240,4145.0,2064.0,2.11
PHOENIX,AZ,33.8,786833.0,776168.0,1563001,72388.0,300702.0,2.89
DALY CITY,CA,39.7,53817.0,52757.0,106574,3782.0,56640.0,3.26
SOUTH SAN FRANCISCO,CA,39.4,34177.0,33094.0,67271,1839.0,27528.0,3.33
BLOOMINGTON,IN,23.5,40588.0,43227.0,83815,2368.0,10033.0,2.33
INDEPENDENCE,MO,38.6,54348.0,62907.0,117255,10220.0,4911.0,2.33
KENNEWICK,WA,32.0,38492.0,40411.0,78903,5158.0,8376.0,2.78
FLAGSTAFF,AZ,23.9,33224.0,37093.0,70317,3667.0,4262.0,2.55
BRANDON,FL,36.1,55679.0,58289.0,113968,9417.0,16390.0,2.64
KANSAS CITY,KS,33.4,74606.0,76655.0,151261,8139.0,25507.0,2.71
WAUKEGAN,IL,32.3,45514.0,42833.0,88347,3404.0,30997.0,2.92
FORT COLLINS,CO,29.6,80893.0,80288.0,161181,8425.0,9704.0,2.45
JACKSONVILLE,NC,24.2,40015.0,27348.0,67363,8252.0,3732.0,2.51
CARY,NC,39.9,78932.0,81582.0,160514,7426.0,30008.0,2.61
SAINT JOSEPH,MO,35.7,37688.0,38408.0,76096,5846.0,3755.0,2.58
MELBOURNE,FL,43.4,39180.0,40956.0,80136,8363.0,9685.0,2.37
PALM BAY,FL,40.7,51767.0,56128.0,107895,10942.0,12070.0,2.82
PLANTATION,FL,40.6,42881.0,49674.0,92555,4037.0,27902.0,2.73
OLATHE,KS,33.0,65046.0,69270.0,134316,6042.0,11913.0,2.97
SIOUX FALLS,SD,34.6,86596.0,84934.0,171530,8658.0,12934.0,2.38
PORTSMOUTH,VA,33.6,45900.0,50301.0,96201,10261.0,1815.0,2.54
KANSAS CITY,MO,35.9,228430.0,246931.0,475361,24710.0,37787.0,2.35
JACKSON,TN,35.3,30007.0,36973.0,66980,3529.0,2097.0,2.52
SPOKANE,WA,36.6,102756.0,110511.0,213267,18044.0,13253.0,2.34
COLORADO SPRINGS,CO,34.8,225544.0,231018.0,456562,49291.0,35320.0,2.48
MCKINNEY,TX,35.6,77339.0,85548.0,162887,8082.0,25760.0,2.91
HENDERSON,NV,42.5,139412.0,146246.0,285658,25045.0,35666.0,2.55
NORFOLK,VA,30.2,128917.0,117476.0,246393,29445.0,16702.0,2.51
ARVADA,CO,41.0,54870.0,60165.0,115035,8930.0,4921.0,2.49
HOLLYWOOD,FL,41.4,75358.0,74363.0,149721,6056.0,55158.0,2.65
CHESAPEAKE,VA,36.7,114964.0,120465.0,235429,29772.0,13966.0,2.73
COLUMBUS,OH,32.5,413981.0,435086.0,849067,40238.0,101129.0,2.4
SPRING HILL,FL,45.1,48295.0,54902.0,103197,9737.0,7893.0,2.58
KENOSHA,WI,36.3,49349.0,50507.0,99856,6238.0,7443.0,2.55
KENDALL,FL,40.2,36658.0,39808.0,76466,1678.0,31180.0,2.81
REDONDO BEACH,CA,43.0,34855.0,33330.0,68185,3014.0,13536.0,2.34
WALNUT CREEK,CA,47.6,31994.0,36912.0,68906,4977.0,13624.0,2.22
MISSION,TX,32.9,40530.0,42777.0,83307,2383.0,22608.0,3.51
MCALLEN,TX,32.3,68332.0,71921.0,140253,4356.0,37691.0,3.19
CHEEKTOWAGA,NY,40.7,37476.0,38599.0,76075,5408.0,3532.0,2.3
OCEANSIDE,CA,39.4,87482.0,88232.0,175714,18051.0,37492.0,2.72
ORLANDO,FL,33.1,130940.0,139977.0,270917,12782.0,50558.0,2.42
PARMA,OH,40.8,38425.0,41518.0,79943,5028.0,6909.0,2.42
HARLINGEN,TX,30.1,32404.0,33365.0,65769,2761.0,10391.0,3.0
PEMBROKE PINES,FL,40.3,77050.0,89574.0,166624,6849.0,62210.0,2.94
ALHAMBRA,CA,41.0,42184.0,43388.0,85572,1673.0,44441.0,2.89
BRENTWOOD,NY,34.2,31395.0,32397.0,63792,1492.0,27058.0,4.98
RIVERSIDE,CA,31.4,160613.0,161810.0,322423,12373.0,69584.0,3.34
MENIFEE,CA,37.1,42866.0,44297.0,87163,6821.0,12481.0,3.06
KALAMAZOO,MI,26.4,37175.0,38865.0,76040,3048.0,3482.0,2.36
CARSON,CA,40.4,43790.0,49506.0,93296,4273.0,33860.0,3.7
ANN ARBOR,MI,28.1,58789.0,58281.0,117070,3614.0,20717.0,2.17
FARMINGTON HILLS,MI,42.1,37527.0,43805.0,81332,3650.0,18033.0,2.41
MISSOURI CITY,TX,37.2,34932.0,36846.0,71778,4274.0,18556.0,3.03
ORANGE,CA,35.0,67337.0,73658.0,140995,3993.0,34550.0,3.14
EVERETT,WA,37.0,56212.0,51800.0,108012,7880.0,19499.0,2.36
CITRUS HEIGHTS,CA,37.8,41982.0,45071.0,87053,6171.0,9466.0,2.49
GAINESVILLE,FL,26.0,60803.0,69330.0,130133,4788.0,15272.0,2.33
MILPITAS,CA,36.8,40098.0,37519.0,77617,1608.0,39436.0,3.32
TAMPA,FL,35.3,175517.0,193511.0,369028,20636.0,58795.0,2.47
SANTA MONICA,CA,40.6,46732.0,46487.0,93219,2008.0,24448.0,2.0
EAU CLAIRE,WI,32.0,32327.0,35106.0,67433,3261.0,2833.0,2.4
ENTERPRISE,NV,34.1,69146.0,66328.0,135474,7526.0,31173.0,2.89
