city,state_code,race,count
BOCA RATON,FL,White,80781
VISTA,CA,Black or African-American,5164
BROCKTON,MA,American Indian and Alaska Native,881
NEW ROCHELLE,NY,White,44435
GREENSBORO,NC,Hispanic or Latino,22147
DEARBORN,MI,White,88742
CHARLESTON,SC,Asian,2773
ELIZABETH,NJ,Black or African-American,29822
SYRACUSE,NY,Asian,9386
SAN BUENAVENTURA,CA,Hispanic or Latino,38463
REDDING,CA,Asian,5271
BUFFALO,NY,Hispanic or Latino,29656
SCOTTSDALE,AZ,Asian,11555
GLENDALE,AZ,White,202539
SAINT GEORGE,UT,Hispanic or Latino,10829
FISHERS,IN,Hispanic or Latino,3409
WALDORF,MD,Hispanic or Latino,4810
RIO RANCHO,NM,White,73022
LAS VEGAS,NV,American Indian and Alaska Native,8456
VICTORIA,TX,White,58798
VICTORIA,TX,Asian,2032
ANCHORAGE,AK,Hispanic or Latino,27261
SAN DIEGO,CA,White,949388
DAYTON,OH,Asian,1885
GLENDALE,CA,White,146718
ANAHEIM,CA,Black or African-American,9775
DES MOINES,IA,Black or African-American,26353
AUBURN,WA,Asian,12341
PEORIA,AZ,Hispanic or Latino,41129
CHARLOTTE,NC,Hispanic or Latino,113731
GULFPORT,MS,Black or African-American,27799
ABILENE,TX,American Indian and Alaska Native,1813
CENTREVILLE,VA,Asian,25058
PLEASANTON,CA,Black or African-American,1919
ATLANTA,GA,Asian,24268
SAINT CHARLES,MO,American Indian and Alaska Native,681
WESTMINSTER,CA,White,37593
WATERBURY,CT,White,69075
WATERBURY,CT,Black or African-American,26972
DAVIE,FL,American Indian and Alaska Native,464
HOUSTON,TX,Asian,173854
CONCORD,CA,White,92575
EAGAN,MN,Hispanic or Latino,4328
DULUTH,MN,Asian,1721
CAROLINA,PR,American Indian and Alaska Native,12143
ELLICOTT CITY,MD,American Indian and Alaska Native,396
PORT SAINT LUCIE,FL,Asian,7967
GREELEY,CO,White,92874
AMES,IA,White,56157
WEST JORDAN,UT,Hispanic or Latino,21315
CHICO,CA,Hispanic or Latino,15578
SIOUX CITY,IA,Black or African-American,3994
SIOUX CITY,IA,American Indian and Alaska Native,1956
WASHINGTON,DC,Hispanic or Latino,71129
CHINO HILLS,CA,Asian,28132
NEW BEDFORD,MA,White,63938
AVONDALE,AZ,Hispanic or Latino,34716
SAN BERNARDINO,CA,Black or African-American,36393
LONGMONT,CO,White,85853
LINCOLN,NE,White,246677
PASCO,WA,Asian,2215
CINCINNATI,OH,White,162245
NEW BRAUNFELS,TX,Asian,1610
ESCONDIDO,CA,Asian,14398
UNION CITY,NJ,Asian,4044
FONTANA,CA,American Indian and Alaska Native,2656
MILWAUKEE,WI,American Indian and Alaska Native,10813
RACINE,WI,White,52445
SANTA MARIA,CA,American Indian and Alaska Native,1575
SPARKS,NV,Black or African-American,4226
MARYSVILLE,WA,Hispanic or Latino,7142
INGLEWOOD,CA,Black or African-American,44991
CEDAR RAPIDS,IA,White,116851
GERMAN,MD,Hispanic or Latino,18202
HIGHLANDS RANCH,CO,Asian,5650
QUINCY,MA,Hispanic or Latino,2566
SPRING VALLEY,NV,Hispanic or Latino,40374
TUSTIN,CA,Asian,16074
TUSTIN,CA,American Indian and Alaska Native,538
SIOUX CITY,IA,Hispanic or Latino,15602
KENT,WA,Asian,26168
NEW BEDFORD,MA,Hispanic or Latino,18336
URBAN HONOLULU,HI,Asian,240978
RICHMOND,CA,Black or African-American,27434
DELTONA,FL,Hispanic or Latino,31357
KISSIMMEE,FL,Hispanic or Latino,44120
SPRINGFIELD,MA,Asian,5606
SPRINGFIELD,MA,American Indian and Alaska Native,2087
FORT SMITH,AR,Black or African-American,9851
SAN BERNARDINO,CA,Asian,12981
SAN MATEO,CA,White,62656
FALL RIVER,MA,Black or African-American,6389
BELLINGHAM,WA,Asian,8010
CARMICHAEL,CA,White,55862
PHILADELPHIA,PA,Black or African-American,691186
MAPLE GROVE,MN,Hispanic or Latino,1685
PITTSBURGH,PA,Asian,21227
UNION CITY,NJ,Black or African-American,4686
FONTANA,CA,Black or African-American,16986
LAUDERHILL,FL,Hispanic or Latino,6089
BOLINGBROOK,IL,Black or African-American,12671
BOLINGBROOK,IL,Asian,9788
WORCESTER,MA,Asian,15932
PROVIDENCE,RI,Asian,13432
FAYETTEVILLE,AR,White,68830
SANTA ROSA,CA,White,138506
UNION CITY,CA,White,16845
LAKELAND,FL,Black or African-American,25111
LAKELAND,FL,Asian,3348
BOULDER,CO,White,98243
RICHMOND,VA,Asian,6626
MARYSVILLE,WA,American Indian and Alaska Native,3260
BEAVERTON,OR,Asian,10538
BAYONNE,NJ,Asian,7171
LAKEWOOD,CO,Black or African-American,2679
SANTA BARBARA,CA,White,73659
YUBA CITY,CA,Hispanic or Latino,20890
PALO ALTO,CA,American Indian and Alaska Native,556
PUEBLO,CO,White,86097
THE VILLAGES,FL,Hispanic or Latino,1066
FORT WAYNE,IN,Black or African-American,46319
SANTA ANA,CA,Black or African-American,5813
BISMARCK,ND,Asian,930
PHOENIX,AZ,Hispanic or Latino,669914
DALY CITY,CA,White,25522
SOUTH SAN FRANCISCO,CA,Black or African-American,2327
VACAVILLE,CA,Hispanic or Latino,23395
BLOOMINGTON,IN,Hispanic or Latino,3643
INDEPENDENCE,MO,White,98940
INDEPENDENCE,MO,Black or African-American,10394
KENNEWICK,WA,American Indian and Alaska Native,1101
FLAGSTAFF,AZ,Asian,2646
ANTIOCH,CA,Hispanic or Latino,35563
BRANDON,FL,Asian,9440
KANSAS CITY,KS,Black or African-American,40177
WAUKEGAN,IL,Asian,4933
EUGENE,OR,Hispanic or Latino,17356
EUGENE,OR,Black or African-American,5632
FORT COLLINS,CO,American Indian and Alaska Native,3271
JACKSONVILLE,NC,Black or African-American,13253
MESQUITE,TX,Black or African-American,37339
HAWTHORNE,CA,Hispanic or Latino,50115
BOCA RATON,FL,Asian,2494
CARY,NC,Hispanic or Latino,10327
SAINT JOSEPH,MO,Asian,1271
MELBOURNE,FL,American Indian and Alaska Native,251
PALM BAY,FL,Black or African-American,20891
PLANTATION,FL,Hispanic or Latino,26401
OVERLAND PARK,KS,Black or African-American,10685
OLATHE,KS,Asian,6288
SIOUX FALLS,SD,White,149298
PORTSMOUTH,VA,Black or African-American,52972
KANSAS CITY,MO,Hispanic or Latino,46037
NORTH LITTLE ROCK,AR,White,34118
JACKSON,TN,Asian,1171
BRYAN,TX,American Indian and Alaska Native,3557
LYNCHBURG,VA,Hispanic or Latino,2689
SPOKANE,WA,Asian,9059
COLORADO SPRINGS,CO,Asian,22619
WICHITA FALLS,TX,White,82860
MCKINNEY,TX,White,129192
HUNTSVILLE,AL,Black or African-American,61561
LYNWOOD,CA,Black or African-American,5346
CRANSTON,RI,White,64806
AMARILLO,TX,Asian,8563
LEXINGTON-FAYETTE  COUNTY,KY,Hispanic or Latino,21766
HENDERSON,NV,Hispanic or Latino,47154
HENDERSON,NV,White,234301
NORFOLK,VA,White,127741
RICHARDSON,TX,White,76116
ARVADA,CO,Hispanic or Latino,16419
HOLLYWOOD,FL,White,107916
CHESAPEAKE,VA,Black or African-American,73850
COLUMBUS,OH,Asian,48974
SAINT GEORGE,UT,Asian,1649
TURLOCK,CA,Hispanic or Latino,23559
SPRING HILL,FL,Hispanic or Latino,15838
KENOSHA,WI,Asian,2537
SYRACUSE,NY,White,88679
KENDALL,FL,White,70266
REDONDO BEACH,CA,American Indian and Alaska Native,1007
REDDING,CA,Hispanic or Latino,9143
REDDING,CA,White,81244
WALNUT CREEK,CA,Black or African-American,1705
MISSION,TX,White,77985
LIVONIA,MI,Asian,2719
MCALLEN,TX,Black or African-American,3332
CHEEKTOWAGA,NY,White,63541
OCEANSIDE,CA,Hispanic or Latino,62100
ORLANDO,FL,Hispanic or Latino,89306
PARMA,OH,Asian,974
HARLINGEN,TX,Asian,2166
PEMBROKE PINES,FL,Hispanic or Latino,60519
ALHAMBRA,CA,American Indian and Alaska Native,687
LYNN,MA,American Indian and Alaska Native,1176
BRENTWOOD,NY,American Indian and Alaska Native,4242
RIVERSIDE,CA,American Indian and Alaska Native,5338
MENIFEE,CA,Asian,7108
KALAMAZOO,MI,White,56866
KALAMAZOO,MI,Black or African-American,19194
LAS CRUCES,NM,Hispanic or Latino,60614
LAS CRUCES,NM,American Indian and Alaska Native,2368
YAKIMA,WA,Black or African-American,924
CARSON,CA,White,28801
CARSON,CA,American Indian and Alaska Native,2119
ANN ARBOR,MI,American Indian and Alaska Native,1935
DES MOINES,IA,Hispanic or Latino,25306
DEERFIELD BEACH,FL,Black or African-American,25344
GREELEY,CO,Black or African-American,2856
FARMINGTON HILLS,MI,Asian,10759
MISSOURI CITY,TX,Black or African-American,28070
ORANGE,CA,Hispanic or Latino,46255
QUINCY,MA,American Indian and Alaska Native,351
EVERETT,WA,White,88395
CITRUS HEIGHTS,CA,American Indian and Alaska Native,1514
GAINESVILLE,FL,Hispanic or Latino,12208
SAN MATEO,CA,American Indian and Alaska Native,682
MILPITAS,CA,White,17127
FONTANA,CA,Asian,14281
ROCKFORD,IL,Black or African-American,33122
TAMPA,FL,Hispanic or Latino,95154
SANTA MONICA,CA,Black or African-American,9663
BOULDER,CO,Black or African-American,1615
CHAMPAIGN,IL,Hispanic or Latino,4015
EAU CLAIRE,WI,Hispanic or Latino,1488
INGLEWOOD,CA,White,33966
ENTERPRISE,NV,Hispanic or Latino,25307
ENTERPRISE,NV,Asian,35444
DECATUR,IL,Black or African-American,17939
CEDAR RAPIDS,IA,Hispanic or Latino,5328
GERMAN,MD,Asian,15921
SHAWNEE,KS,Hispanic or Latino,4864
SHAWNEE,KS,Black or African-American,7296
PALO ALTO,CA,White,43019
PUEBLO,CO,American Indian and Alaska Native,7306
THE VILLAGES,FL,Black or African-American,331
FORT WAYNE,IN,American Indian and Alaska Native,3577
FRAMINGHAM,MA,White,52205
FRAMINGHAM,MA,Asian,5993
NORTH CHARLESTON,SC,White,48956
NASHUA,NH,Black or African-American,4147
NORTH LITTLE ROCK,AR,Black or African-American,30766
JURUPA VALLEY,CA,Asian,4992
BOYNTON BEACH,FL,Hispanic or Latino,12553
TEMPLE,TX,Black or African-American,14747
COLORADO SPRINGS,CO,White,374900
WATERBURY,CT,American Indian and Alaska Native,492
ROCKVILLE,MD,American Indian and Alaska Native,594
CAPE CORAL,FL,Asian,3314
KILLEEN,TX,Black or African-American,54601
DALY CITY,CA,Black or African-American,5401
MANTECA,CA,Asian,8172
DULUTH,MN,American Indian and Alaska Native,1894
BLOOMINGTON,IN,White,71200
LITTLE ROCK,AR,White,102312
OXNARD,CA,American Indian and Alaska Native,6241
HUNTINGTON BEACH,CA,Asian,29095
BK,CA,White,79582
EVANSTON,IL,White,54496
ATASCOCITA,TX,American Indian and Alaska Native,1024
SURPRISE,AZ,Hispanic or Latino,25366
SURPRISE,AZ,White,115419
MIRAMAR,FL,White,58914
JACKSONVILLE,NC,Hispanic or Latino,11947
LORAIN,OH,Hispanic or Latino,19342
DOTHAN,AL,Asian,1175
JOHNS CREEK,GA,American Indian and Alaska Native,826
RAPID CITY,SD,White,63983
LEE'S SUMMIT,MO,White,82915
LEE'S SUMMIT,MO,Black or African-American,7100
SAINT JOSEPH,MO,Black or African-American,6964
WARREN,MI,Asian,12156
TACOMA,WA,White,149859
TACOMA,WA,American Indian and Alaska Native,5549
VISTA,CA,Asian,7189
ANTIOCH,CA,American Indian and Alaska Native,3462
ERIE,PA,Hispanic or Latino,7859
TULSA,OK,Asian,16318
MOUNTAIN VIEW,CA,White,51400
TORRANCE,CA,White,80498
YONKERS,NY,Black or African-American,38731
BETHLEHEM,PA,Hispanic or Latino,23409
WEST VALLEY CITY,UT,American Indian and Alaska Native,4851
SURPRISE,AZ,Black or African-American,9079
HARTFORD,CT,American Indian and Alaska Native,2451
APPLETON,WI,Asian,5561
DOTHAN,AL,Hispanic or Latino,1704
EL MONTE,CA,American Indian and Alaska Native,718
WARREN,MI,Hispanic or Latino,3210
TACOMA,WA,Hispanic or Latino,25764
FREMONT,CA,Hispanic or Latino,29594
ELGIN,IL,Hispanic or Latino,48221
CHARLESTON,SC,Black or African-American,29998
GREENVILLE,NC,Black or African-American,37355
REDDING,CA,Black or African-American,2112
GASTONIA,NC,Asian,2788
FRISCO,TX,Hispanic or Latino,17093
OKLAHOMA CITY,OK,White,462306
MCALLEN,TX,Asian,5575
CARLSBAD,CA,White,98705
PASADENA,CA,Hispanic or Latino,52717
NAPERVILLE,IL,American Indian and Alaska Native,449
FRESNO,CA,Black or African-American,46072
JOHNSON CITY,TN,Asian,1877
JOHNSON CITY,TN,American Indian and Alaska Native,400
GOODYEAR,AZ,Asian,5701
TOMS RIVER,NJ,American Indian and Alaska Native,251
WYOMING,MI,Hispanic or Latino,15325
LAWTON,OK,Asian,5173
READING,PA,Hispanic or Latino,57032
SAN DIEGO,CA,Asian,267222
AURORA,IL,White,115903
ROCHESTER HILLS,MI,Asian,8092
MINNEAPOLIS,MN,American Indian and Alaska Native,9238
MADISON,WI,White,204302
MADISON,WI,American Indian and Alaska Native,2296
PORTLAND,ME,White,59722
COLLEGE STATION,TX,American Indian and Alaska Native,605
LEWISVILLE,TX,American Indian and Alaska Native,1371
RALEIGH,NC,Black or African-American,138242
JURUPA VALLEY,CA,American Indian and Alaska Native,1554
LOS ANGELES,CA,Asian,512999
BOYNTON BEACH,FL,White,49704
MOUNT VERNON,NY,American Indian and Alaska Native,356
DALLAS,TX,American Indian and Alaska Native,17510
SAN TAN VALLEY,AZ,American Indian and Alaska Native,3941
EAST ORANGE,NJ,Black or African-American,57859
BISMARCK,ND,American Indian and Alaska Native,4040
AUSTIN,TX,Hispanic or Latino,327680
CASAS ADOBES,AZ,Asian,3009
INDIANAPOLIS,IN,American Indian and Alaska Native,8656
SOMERVILLE,MA,Black or African-American,7140
BAKERSFIELD,CA,Black or African-American,34240
RENTON,WA,Hispanic or Latino,15392
ODESSA,TX,American Indian and Alaska Native,1134
BLOOMINGTON,IN,Asian,9801
ELLICOTT CITY,MD,Asian,22551
KENNEWICK,WA,White,65228
MONTGOMERY,AL,American Indian and Alaska Native,1277
ROUND ROCK,TX,Black or African-American,13636
ALAFAYA,FL,Asian,10336
WASHINGTON,DC,American Indian and Alaska Native,6130
SANTA FE,NM,Hispanic or Latino,45884
DELTONA,FL,White,75686
MIAMI BEACH,FL,Black or African-American,4013
NORTH LAS VEGAS,NV,White,137357
AKRON,OH,Black or African-American,66551
SAN JOSE,CA,Hispanic or Latino,331232
SAN JOSE,CA,Asian,385198
LONGMONT,CO,Asian,2255
FALL RIVER,MA,White,77242
SAINT PAUL,MN,Hispanic or Latino,27307
MUNCIE,IN,American Indian and Alaska Native,203
CARMICHAEL,CA,Black or African-American,4675
VICTORVILLE,CA,Black or African-American,26747
MAPLE GROVE,MN,American Indian and Alaska Native,549
MURFREESBORO,TN,White,97270
ESCONDIDO,CA,Hispanic or Latino,73793
MILPITAS,CA,Asian,52617
CHATTANOOGA,TN,Asian,4602
PROVIDENCE,RI,White,97885
FAIRFIELD,CA,Hispanic or Latino,32976
TRACY,CA,Asian,16856
TOLEDO,OH,American Indian and Alaska Native,3942
ASHEVILLE,NC,White,77979
EAU CLAIRE,WI,White,62194
