id,coc,cor,port_code,age,visa_issued_in,occup,biryear,gender,airline,admnum,fltno,visatype,arrival_dt,departure_dt,added_to_i94,allowed_until,arrival_mode,visit_purpose
685746,209,209,SEA,33,"","",1983,"",DL,2147483647,00166,WB,2016-04-04,2016-04-15,2016-04-04,2016-07-02,Air,Business
4089988,213,213,SFR,24,BMB,"",1992,F,BA,2147483647,00285,B1,2016-04-22,2016-05-10,2016-04-22,2016-10-21,Air,Business
695508,245,245,SNJ,35,GUZ,"",1981,M,HU,2147483647,07989,B1,2016-04-04,2016-05-13,2016-04-04,2016-10-03,Air,Business
708521,373,373,SEA,36,DRB,"",1980,M,EK,2147483647,00229,B1,2016-04-04,2016-04-06,2016-04-04,2016-10-03,Air,Business
708522,373,373,SEA,30,DRB,"",1986,M,EK,2147483647,00229,B1,2016-04-04,2016-04-06,2016-04-04,2016-10-03,Air,Business
828628,124,124,NEW,47,"","",1969,M,SK,681430985,907,WB,2016-04-05,2016-04-10,2016-04-05,2016-07-03,Air,Business
4251574,104,104,SEA,56,"","",1960,M,BA,2147483647,00049,WB,2016-04-23,2016-04-30,2016-04-23,2016-07-21,Air,Business
4262269,114,114,ATL,34,"","",1982,"",DL,2147483647,00131,WB,2016-04-23,2016-04-27,2016-04-23,2016-07-21,Air,Business
869835,245,245,LOS,43,GUZ,"",1973,M,CZ,2147483647,00327,B1,2016-04-05,2016-04-09,2016-04-05,2016-10-04,Air,Business
869836,245,245,LOS,41,GUZ,"",1975,M,CZ,2147483647,00327,B1,2016-04-05,2016-04-09,2016-04-05,2016-10-04,Air,Business
869837,245,245,LOS,35,GUZ,"",1981,M,CZ,2147483647,00327,B1,2016-04-05,2016-04-09,2016-04-05,2016-10-04,Air,Business
1826494,209,209,ATL,45,"","",1971,"",DL,2147483647,00296,WB,2016-04-10,2016-04-16,2016-04-10,2016-07-08,Air,Business
1827038,209,209,DET,43,"","",1973,M,DL,2147483647,00276,WB,2016-04-10,2016-04-12,2016-04-10,2016-07-08,Air,Business
1827039,209,209,DET,35,"","",1981,"",DL,2147483647,00276,WB,2016-04-10,2016-04-12,2016-04-10,2016-07-08,Air,Business
4293002,135,135,SEA,57,"","",1959,"",BA,2147483647,00049,WB,2016-04-23,2016-04-24,2016-04-23,2016-07-21,Air,Business
1834400,209,209,SEA,46,TAI,"",1970,M,DL,2147483647,00166,B1,2016-04-10,2016-04-13,2016-04-10,2016-05-09,Air,Business
1834767,209,209,SEA,45,TKY,"",1971,F,DL,2147483647,00166,E1,2016-04-10,2016-06-24,2016-04-10,2018-04-09,Air,Business
4309993,209,209,SEA,38,"","",1978,M,NH,2147483647,00178,WB,2016-04-23,2016-05-08,2016-04-23,2016-07-21,Air,Business
4316202,213,213,PHO,43,MDR,"",1973,M,BA,2147483647,00289,B1,2016-04-23,"",2016-04-23,2016-10-22,Air,Business
4317139,213,213,CHI,32,NWD,"",1984,M,UA,2147483647,00896,B1,2016-04-23,2016-05-06,2016-04-23,2016-10-22,Air,Business
1957253,687,687,DAL,47,BNS,"",1969,M,AA,2147483647,00996,B1,2016-04-10,2016-04-14,2016-04-10,2016-10-09,Air,Business
1958124,687,687,MIA,41,BNS,"",1975,M,AA,2147483647,00900,B1,2016-04-10,2016-04-16,2016-04-10,2016-10-09,Air,Business
4476562,110,110,SEA,42,"","",1974,"",FI,2147483647,00681,WB,2016-04-24,2016-04-25,2016-04-24,2016-07-22,Air,Business
4476563,110,110,SEA,36,"","",1980,"",FI,2147483647,00681,WB,2016-04-24,2016-04-25,2016-04-24,2016-07-22,Air,Business
4481461,111,111,SEA,45,"","",1971,M,DL,2147483647,00033,WB,2016-04-24,2016-04-29,2016-04-24,2016-07-22,Air,Business
4481462,111,111,SEA,41,"","",1975,M,DL,2147483647,00033,WB,2016-04-24,2016-04-29,2016-04-24,2016-07-22,Air,Business
1992343,126,126,CLT,56,"","",1960,M,AA,2147483647,00733,WB,2016-04-11,2016-05-26,2016-04-11,2016-07-09,Air,Business
2008606,135,135,SEA,44,"","",1972,M,BA,2147483647,00049,WB,2016-04-11,2016-04-14,2016-04-11,2016-07-09,Air,Business
